2026-06-17 15:35:24,931 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,936 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,939 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,944 INFO Added job "send_morning_messages" to job store "default"
2026-06-17 15:35:24,945 INFO Added job "check_task_notifications" to job store "default"
2026-06-17 15:35:24,946 INFO Added job "check_reminders" to job store "default"
2026-06-17 15:35:24,947 INFO Scheduler started
2026-06-17 15:35:24,947 INFO Notification scheduler started (Asia/Tashkent timezone)
2026-06-17 15:35:24,948 INFO Bot ishga tushdi...
2026-06-17 15:35:24,949 INFO Start polling
2026-06-17 15:35:25,362 INFO Run polling for bot @Mars_F2_1985_bot id=8218372259 - 'dars_uchun'
2026-06-17 21:30:24,952 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:31:24 +05)" executed successfully
2026-06-17 21:30:24,953 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:31:24 +05)" executed successfully
2026-06-17 21:31:24,952 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:32:24 +05)" (scheduled at 2026-06-17 21:31:24.936401+05:00)
2026-06-17 21:31:24,959 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:32:24 +05)" (scheduled at 2026-06-17 21:31:24.939426+05:00)
2026-06-17 21:31:24,963 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:32:24 +05)" executed successfully
2026-06-17 21:31:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:32:24 +05)" executed successfully
2026-06-17 21:32:24,949 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:33:24 +05)" (scheduled at 2026-06-17 21:32:24.936401+05:00)
2026-06-17 21:32:24,951 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:33:24 +05)" (scheduled at 2026-06-17 21:32:24.939426+05:00)
2026-06-17 21:32:24,957 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:33:24 +05)" executed successfully
2026-06-17 21:32:24,959 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:33:24 +05)" executed successfully
2026-06-17 21:33:24,949 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:34:24 +05)" (scheduled at 2026-06-17 21:33:24.936401+05:00)
2026-06-17 21:33:24,957 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:34:24 +05)" (scheduled at 2026-06-17 21:33:24.939426+05:00)
2026-06-17 21:33:24,962 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:34:24 +05)" executed successfully
2026-06-17 21:33:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:34:24 +05)" executed successfully
2026-06-17 21:34:24,940 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:35:24 +05)" (scheduled at 2026-06-17 21:34:24.936401+05:00)
2026-06-17 21:34:24,948 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:35:24 +05)" (scheduled at 2026-06-17 21:34:24.939426+05:00)
2026-06-17 21:34:24,955 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:35:24 +05)" executed successfully
2026-06-17 21:34:24,956 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:35:24 +05)" executed successfully
2026-06-17 21:35:24,952 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:36:24 +05)" (scheduled at 2026-06-17 21:35:24.936401+05:00)
2026-06-17 21:35:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:36:24 +05)" (scheduled at 2026-06-17 21:35:24.939426+05:00)
2026-06-17 21:35:24,958 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:36:24 +05)" executed successfully
2026-06-17 21:35:24,958 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:36:24 +05)" executed successfully
2026-06-17 21:36:24,949 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:37:24 +05)" (scheduled at 2026-06-17 21:36:24.936401+05:00)
2026-06-17 21:36:24,956 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:37:24 +05)" (scheduled at 2026-06-17 21:36:24.939426+05:00)
2026-06-17 21:36:24,962 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:37:24 +05)" executed successfully
2026-06-17 21:36:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:37:24 +05)" executed successfully
2026-06-17 21:37:24,947 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:38:24 +05)" (scheduled at 2026-06-17 21:37:24.936401+05:00)
2026-06-17 21:37:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:38:24 +05)" (scheduled at 2026-06-17 21:37:24.939426+05:00)
2026-06-17 21:37:24,959 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:38:24 +05)" executed successfully
2026-06-17 21:37:24,959 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:38:24 +05)" executed successfully
2026-06-17 21:38:24,946 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:39:24 +05)" (scheduled at 2026-06-17 21:38:24.936401+05:00)
2026-06-17 21:38:24,954 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:39:24 +05)" (scheduled at 2026-06-17 21:38:24.939426+05:00)
2026-06-17 21:38:24,957 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:39:24 +05)" executed successfully
2026-06-17 21:38:24,959 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:39:24 +05)" executed successfully
